step,cost,cost_reduction,percent_reduction
0,308.084,0.0,0.0
1,308.084,0.0,0.0
2,308.084,0.0,0.0
3,308.084,0.0,0.0
4,308.084,0.0,0.0
5,308.084,0.0,0.0
6,308.084,0.0,0.0
7,308.084,0.0,0.0
8,308.084,0.0,0.0
9,308.084,0.0,0.0
10,287.08,21.00400000000002,6.8176211682528205
11,287.08,21.00400000000002,6.8176211682528205
12,287.08,21.00400000000002,6.8176211682528205
13,287.08,21.00400000000002,6.8176211682528205
14,287.08,21.00400000000002,6.8176211682528205
15,287.08,21.00400000000002,6.8176211682528205
16,287.08,21.00400000000002,6.8176211682528205
17,287.08,21.00400000000002,6.8176211682528205
18,287.08,21.00400000000002,6.8176211682528205
19,287.08,21.00400000000002,6.8176211682528205
20,287.08,21.00400000000002,6.8176211682528205
21,287.08,21.00400000000002,6.8176211682528205
22,287.08,21.00400000000002,6.8176211682528205
23,287.08,21.00400000000002,6.8176211682528205
24,287.08,21.00400000000002,6.8176211682528205
25,287.08,21.00400000000002,6.8176211682528205
26,287.08,21.00400000000002,6.8176211682528205
27,287.08,21.00400000000002,6.8176211682528205
28,287.08,21.00400000000002,6.8176211682528205
29,287.08,21.00400000000002,6.8176211682528205
30,287.08,21.00400000000002,6.8176211682528205
